time,x,y,z,gforce
0.032,-0.022,-0.006,0.978,0.979
0.159,-0.057,0.010,0.938,0.940
0.164,-0.046,0.017,0.977,0.978
0.166,-0.019,0.006,1.005,1.005
0.169,-0.014,0.006,0.988,0.988
0.172,-0.036,0.006,0.970,0.971
0.174,-0.046,0.011,0.981,0.982
0.206,-0.038,0.004,0.990,0.990
0.208,-0.029,0.004,0.977,0.977
0.209,-0.031,0.004,0.967,0.968
0.211,-0.029,0.003,0.977,0.977
0.268,-0.035,0.003,0.987,0.987
0.352,-0.035,0.006,0.970,0.971
0.355,-0.036,0.003,0.981,0.982
0.356,-0.039,0.006,0.981,0.982
0.367,-0.032,0.003,0.987,0.987
0.368,-0.035,0.001,0.987,0.987
0.369,-0.036,0.003,0.977,0.978
0.371,-0.036,0.001,0.974,0.975
0.382,-0.033,0.003,0.980,0.980
0.430,-0.033,0.007,0.980,0.980
0.442,-0.036,0.007,0.980,0.981
0.485,-0.032,0.003,0.987,0.987
0.513,-0.033,0.003,0.984,0.985
0.517,-0.032,0.007,0.981,0.982
0.521,-0.032,0.006,0.984,0.985
0.524,-0.031,0.003,0.988,0.989
0.566,-0.036,0.006,0.980,0.981
0.657,-0.036,0.006,0.984,0.985
0.685,-0.033,0.001,0.983,0.983
0.690,-0.032,0.001,0.990,0.990
0.693,-0.036,0.003,0.981,0.982
0.697,-0.036,0.003,0.980,0.981
0.701,-0.035,0.004,0.994,0.994
0.718,-0.032,0.006,0.984,0.985
0.722,-0.036,0.003,0.974,0.975
0.804,-0.040,0.003,0.977,0.978
0.836,-0.033,0.006,0.984,0.985
0.840,-0.036,0.006,0.992,0.993
0.842,-0.036,0.001,0.984,0.985
0.844,-0.036,0.001,0.977,0.978
0.890,-0.036,0.001,0.983,0.983
0.892,-0.032,0.003,0.985,0.986
0.902,-0.036,0.003,0.984,0.985
0.904,-0.033,0.003,0.980,0.980
0.905,-0.032,-0.001,0.983,0.983
0.978,-0.033,0.006,0.983,0.983
0.979,-0.036,0.004,0.984,0.985
0.980,-0.038,0.004,0.987,0.988
0.985,-0.032,0.006,0.987,0.987
1.034,-0.032,0.003,0.983,0.983
1.045,-0.031,0.001,0.981,0.982
1.047,-0.032,0.001,0.978,0.979
1.067,-0.032,0.001,0.984,0.985
1.149,-0.032,0.001,0.978,0.979
1.161,-0.038,0.004,0.984,0.985
1.162,-0.049,0.006,0.987,0.988
1.163,-0.035,0.006,0.980,0.980
1.173,-0.033,0.003,0.980,0.980
1.217,-0.035,0.001,0.983,0.983
1.228,-0.032,0.001,0.981,0.982
1.238,-0.032,-0.004,0.976,0.976
1.253,-0.022,-0.001,0.984,0.984
1.271,-0.022,-0.004,0.987,0.987
1.348,-0.029,-0.004,0.980,0.980
1.359,-0.026,-0.004,0.984,0.984
1.361,-0.032,0.006,0.980,0.980
1.362,-0.032,0.006,0.990,0.990
1.372,-0.038,0.006,0.990,0.990
1.419,-0.039,0.004,0.991,0.992
1.430,-0.036,0.006,0.983,0.983
1.441,-0.036,0.003,0.987,0.987
1.453,-0.031,0.003,0.985,0.986
1.472,-0.033,0.003,0.977,0.978
1.557,-0.036,0.003,0.974,0.975
1.569,-0.031,0.001,0.977,0.978
1.570,-0.026,0.001,0.980,0.980
1.571,-0.032,0.001,0.977,0.978
1.574,-0.031,0.003,0.984,0.984
1.594,-0.029,0.003,0.990,0.990
1.638,-0.032,0.003,0.985,0.986
1.640,-0.032,-0.003,0.980,0.980
1.654,-0.029,-0.003,0.984,0.984
1.674,-0.025,-0.003,0.977,0.977
1.752,-0.029,-0.003,0.976,0.976
1.764,-0.028,-0.001,0.985,0.986
1.765,-0.033,-0.001,0.980,0.980
1.766,-0.032,0.003,0.980,0.980
1.777,-0.032,0.001,0.983,0.983
1.822,-0.033,0.003,0.980,0.980
1.824,-0.029,0.003,0.990,0.990
1.838,-0.029,0.003,0.981,0.982
1.857,-0.035,0.003,0.988,0.989
1.877,-0.040,0.004,0.985,0.986
1.973,-0.040,0.006,0.980,0.981
1.975,-0.036,0.006,0.984,0.985
1.980,-0.032,0.004,0.988,0.989
1.981,-0.026,0.003,0.984,0.984
1.982,-0.022,0.003,0.978,0.979
2.061,-0.022,0.003,0.983,0.983
2.423,-0.026,0.003,0.983,0.983
2.424,-0.028,0.003,0.978,0.979
2.426,-0.032,0.003,0.977,0.978
2.468,-0.033,0.003,0.978,0.979
2.469,-0.033,0.003,0.980,0.980
2.470,-0.032,0.004,0.983,0.983
2.489,-0.033,0.004,0.977,0.978
2.490,-0.032,0.006,0.984,0.985
2.491,-0.031,0.010,0.988,0.989
2.492,-0.032,0.004,0.984,0.985
2.495,-0.029,0.003,0.990,0.990
2.496,0.017,-0.006,0.566,0.566
2.498,-0.065,-0.058,1.197,1.200
2.503,-0.032,0.046,1.330,1.331
2.505,0.022,0.157,1.120,1.131
2.505,-0.015,0.068,0.731,0.734
2.508,-0.039,-0.058,0.613,0.617
2.510,-0.072,-0.095,0.941,0.948
2.512,-0.065,0.021,1.252,1.254
2.515,-0.039,0.074,1.126,1.129
2.517,-0.029,0.026,0.871,0.872
2.519,-0.013,-0.025,0.806,0.807
2.575,-0.001,-0.038,1.001,1.001
2.578,0.001,-0.004,1.115,1.115
2.587,-0.039,0.013,1.040,1.040
2.590,-0.078,0.021,0.896,0.900
2.714,-0.068,0.022,0.877,0.880
2.716,-0.025,0.004,0.985,0.986
2.718,-0.025,-0.013,1.062,1.062
2.791,-0.010,-0.010,1.016,1.016
2.792,-0.038,-0.010,0.944,0.944
2.794,-0.051,0.013,0.959,0.960
2.797,-0.031,0.001,0.999,1.000
2.799,-0.024,-0.003,1.003,1.004
2.801,-0.031,-0.003,0.976,0.976
2.803,-0.032,0.006,0.960,0.961
2.806,-0.022,0.008,0.985,0.986
2.807,-0.017,0.008,0.992,0.993
2.808,-0.024,0.008,0.977,0.977
2.863,-0.036,0.001,0.974,0.975
2.945,-0.036,0.003,0.985,0.986
2.948,-0.033,0.004,0.978,0.979
2.950,-0.029,0.003,0.973,0.973
3.017,-0.031,0.003,0.977,0.978
3.018,-0.031,0.003,0.978,0.979
3.019,-0.032,0.003,0.984,0.985
3.020,-0.032,0.001,0.980,0.980
3.023,-0.029,-0.001,0.973,0.973
3.036,-0.031,0.003,0.976,0.976
3.038,-0.029,0.001,0.984,0.984
3.040,-0.029,0.006,0.977,0.978
3.193,-0.032,0.006,0.976,0.976
3.196,-0.031,-0.001,0.978,0.979
3.198,-0.031,-0.001,0.977,0.978
3.200,-0.031,0.004,0.984,0.984
3.201,-0.033,0.004,0.977,0.978
3.203,-0.036,0.001,0.974,0.975
3.204,-0.032,0.003,0.980,0.980
3.206,-0.032,0.004,0.984,0.985
3.218,-0.032,0.001,0.984,0.985
3.309,-0.029,0.001,0.983,0.983
3.311,-0.029,0.003,0.977,0.977
3.315,-0.026,0.003,0.980,0.980
3.318,-0.051,-0.278,0.282,0.399
3.322,-0.063,-0.124,1.109,1.118
3.392,-0.019,0.049,1.288,1.289
3.396,0.121,0.126,1.230,1.242
3.402,0.065,0.099,0.920,0.928
3.404,-0.063,-0.017,0.598,0.601
3.482,-0.118,-0.120,0.689,0.710
3.501,-0.079,-0.067,1.190,1.194
3.504,0.018,0.051,1.277,1.278
3.509,-0.031,0.063,0.967,0.970
3.529,-0.044,0.015,0.724,0.726
3.534,-0.011,-0.040,0.856,0.857
3.596,0.018,-0.035,1.122,1.122
3.665,0.003,-0.006,1.158,1.158
3.668,-0.060,0.015,1.002,1.004
3.672,-0.088,0.031,0.845,0.850
3.674,-0.063,0.022,0.867,0.870
3.723,-0.015,-0.003,1.035,1.036
3.725,0.011,-0.019,1.088,1.088
3.729,-0.007,-0.011,1.006,1.006
3.827,-0.039,0.001,0.923,0.924
3.834,-0.051,0.010,0.937,0.938
3.847,-0.022,-0.003,1.015,1.015
3.849,-0.014,-0.010,0.994,0.994
3.850,-0.025,-0.003,0.970,0.970
3.854,-0.029,-0.003,0.967,0.968
3.855,-0.032,-0.003,0.985,0.986
3.858,-0.026,-0.007,0.987,0.987
3.903,-0.025,-0.004,0.983,0.983
4.001,-0.036,0.007,0.974,0.975
4.004,-0.039,0.003,0.976,0.976
4.019,-0.029,0.003,0.984,0.984
4.021,-0.024,-0.001,0.984,0.984
4.022,-0.024,-0.001,0.978,0.979
4.028,-0.025,0.003,0.984,0.984
4.037,-0.029,0.003,0.981,0.982
4.060,-0.028,-0.003,0.980,0.980
4.401,-0.025,-0.003,0.981,0.982
4.462,-0.029,-0.001,0.978,0.979
4.464,-0.029,0.001,0.976,0.976
4.467,-0.028,0.001,0.991,0.991
4.468,-0.029,0.001,0.978,0.979
4.469,-0.031,0.001,0.977,0.978
4.470,-0.022,-0.003,0.978,0.979
4.471,-0.028,-0.003,0.987,0.987
4.472,-0.026,0.004,0.987,0.987
4.473,-0.025,0.003,0.984,0.984
4.474,-0.025,0.003,0.974,0.975
4.475,-0.025,0.006,0.981,0.982
4.476,-0.029,-0.101,1.190,1.194
4.477,-0.032,-0.181,1.390,1.402
4.480,-0.038,0.029,1.379,1.380
4.482,0.065,0.156,1.223,1.235
4.484,0.065,0.079,0.828,0.835
4.486,-0.063,-0.038,0.563,0.568
4.499,-0.097,-0.129,0.796,0.813
4.501,-0.056,-0.039,1.273,1.275
4.506,-0.003,0.058,1.237,1.238
4.508,-0.036,0.042,0.915,0.916
4.555,-0.025,0.042,0.713,0.715
4.557,-0.003,-0.039,0.906,0.907
4.607,0.015,-0.024,1.142,1.143
4.627,-0.008,-0.024,1.134,1.134
4.629,-0.063,0.017,0.970,0.972
4.645,-0.082,0.021,0.828,0.833
4.650,-0.050,0.010,0.898,0.899
4.654,-0.006,-0.010,1.052,1.052
4.688,0.010,-0.013,1.074,1.074
4.762,-0.022,-0.008,0.984,0.984
4.765,-0.050,-0.008,0.908,0.909
4.843,-0.046,0.006,0.948,0.949
4.846,-0.025,0.006,1.010,1.011
4.848,-0.015,-0.003,1.010,1.011
4.904,-0.022,-0.001,0.974,0.975
4.906,-0.032,-0.001,0.960,0.961
4.909,-0.029,0.004,0.981,0.982
4.910,-0.024,0.003,0.994,0.994
4.912,-0.028,0.003,0.990,0.990
4.924,-0.036,0.003,0.974,0.975
4.926,-0.033,0.003,0.973,0.973
4.929,-0.022,0.003,0.977,0.977
5.000,-0.022,0.003,0.985,0.986
5.060,-0.025,0.003,0.980,0.980
5.061,-0.035,0.004,0.985,0.986
